[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-21-28-55-643919-pro-64896
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [64921]
[INFO] [teleop_node-2]: process started with pid [64923]
[INFO] [driver-3]: process started with pid [64925]
[INFO] [sonar_array-4]: process started with pid [64927]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [64929]
[teleop_node-2] [INFO] [1716154136.136795925] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716154136.136988978] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716154136.137029719] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716154136.578768331] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716154150.188531395] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.202736212] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.238626287] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.252763308] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.292335234] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.302110393] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.344220867] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.354194412] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.386552542] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:0.81m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.394217741] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:0.81m, R:1.03m
